[2022-06-14-08-39-12] induction: have people, enter card insert event
[2022-06-14-08-39-12] card in
[2022-06-14-08-39-12] mc action, enter card insert scene:day
[2022-06-14-09-06-02] 485 induc,id:6a,sta:1
[2022-06-14-09-06-02] 485 induc,id:6a,sta:1
[2022-06-14-09-06-03] 485 induc,id:6a,sta:1
[2022-06-14-09-06-07] mc close
[2022-06-14-09-06-09] 485 induc,id:6a,sta:0
[2022-06-14-09-06-10] 485 induc,id:6a,sta:0
[2022-06-14-09-08-13] 485 induc,id:60,sta:0
[2022-06-14-09-08-14] 485 induc,id:60,sta:0
[2022-06-14-09-08-14] 485 induc,id:60,sta:0
[2022-06-14-09-08-53] 485 induc,id:61,sta:0
[2022-06-14-09-13-28] induction: no people timeout, enter card pull event
[2022-06-14-09-13-40] card out
[2022-06-14-09-17-15] mc open
[2022-06-14-09-17-16] 485 induc,id:61,sta:1
[2022-06-14-09-17-17] induction: have people, enter card insert event
[2022-06-14-09-17-17] card in
[2022-06-14-09-17-17] mc action, enter card insert scene:day
[2022-06-14-09-17-17] 485 induc,id:61,sta:1
[2022-06-14-09-17-17] 485 induc,id:61,sta:1
[2022-06-14-09-17-18] 485 induc,id:6a,sta:1
[2022-06-14-09-17-19] 485 induc,id:60,sta:1
[2022-06-14-09-17-25] 485 induc,id:6a,sta:0
[2022-06-14-09-17-25] 485 induc,id:6a,sta:0
[2022-06-14-09-17-30] 485 induc,id:6a,sta:1
[2022-06-14-09-17-30] 485 induc,id:6a,sta:1
[2022-06-14-09-17-30] 485 induc,id:6a,sta:1
[2022-06-14-09-17-32] mc close
[2022-06-14-09-17-37] 485 induc,id:6a,sta:0
[2022-06-14-09-17-37] 485 induc,id:6a,sta:0
[2022-06-14-09-17-37] 485 induc,id:6a,sta:0
[2022-06-14-09-18-03] 485 induc,id:6a,sta:1
[2022-06-14-09-18-03] pir lock state
[2022-06-14-09-18-04] 485 induc,id:6a,sta:1
[2022-06-14-09-18-04] 485 induc,id:6a,sta:1
[2022-06-14-09-18-06] mc open
[2022-06-14-09-18-10] mc close
[2022-06-14-09-18-14] 485 induc,id:6a,sta:0
[2022-06-14-09-18-14] 485 induc,id:6a,sta:0
[2022-06-14-09-18-14] 485 induc,id:6a,sta:0
[2022-06-14-09-19-36] 485 induc,id:61,sta:0
[2022-06-14-09-19-37] 485 induc,id:61,sta:0
[2022-06-14-09-19-37] 485 induc,id:61,sta:0
[2022-06-14-09-19-37] 485 induc,id:60,sta:0
[2022-06-14-09-19-38] 485 induc,id:60,sta:0
[2022-06-14-09-24-13] induction: no people timeout, enter card pull event
[2022-06-14-09-24-25] card out
[2022-06-14-09-37-23] mc open
[2022-06-14-09-37-25] 485 induc,id:61,sta:1
[2022-06-14-09-37-25] induction: have people, enter card insert event
[2022-06-14-09-37-25] card in
[2022-06-14-09-37-25] mc action, enter card insert scene:day
[2022-06-14-09-37-25] 485 induc,id:6a,sta:1
[2022-06-14-09-37-28] mc close
[2022-06-14-09-37-32] 485 induc,id:6a,sta:0
[2022-06-14-09-37-32] 485 induc,id:6a,sta:0
[2022-06-14-09-37-33] 485 induc,id:6a,sta:0
[2022-06-14-09-37-42] 485 induc,id:60,sta:1
[2022-06-14-09-37-43] 485 induc,id:60,sta:1
[2022-06-14-09-37-43] 485 induc,id:60,sta:1
[2022-06-14-09-38-55] 485 induc,id:61,sta:0
[2022-06-14-09-38-56] 485 induc,id:61,sta:0
[2022-06-14-09-38-56] 485 induc,id:61,sta:0
[2022-06-14-09-38-57] 485 induc,id:60,sta:0
[2022-06-14-09-38-57] 485 induc,id:60,sta:0
[2022-06-14-09-38-58] 485 induc,id:60,sta:0
[2022-06-14-09-43-33] induction: no people timeout, enter card pull event
[2022-06-14-09-43-45] card out
[2022-06-14-10-17-12] mc open
[2022-06-14-10-17-13] 485 induc,id:61,sta:1
[2022-06-14-10-17-13] induction: have people, enter card insert event
[2022-06-14-10-17-13] card in
[2022-06-14-10-17-13] 485 induc,id:6a,sta:1
[2022-06-14-10-17-13] mc action, enter card insert scene:day
[2022-06-14-10-17-14] 485 induc,id:61,sta:1
[2022-06-14-10-17-14] 485 induc,id:61,sta:1
[2022-06-14-10-17-14] 485 induc,id:60,sta:1
[2022-06-14-10-17-20] 485 induc,id:6a,sta:0
[2022-06-14-10-17-21] 485 induc,id:6a,sta:0
[2022-06-14-10-17-21] 485 induc,id:6a,sta:0
[2022-06-14-10-17-46] 485 induc,id:6a,sta:1
[2022-06-14-10-17-46] 485 induc,id:6a,sta:1
[2022-06-14-10-17-46] 485 induc,id:6a,sta:1
[2022-06-14-10-17-51] Key Num 17 first action
[2022-06-14-10-17-53] 485 induc,id:6a,sta:0
[2022-06-14-10-17-53] 485 induc,id:6a,sta:0
[2022-06-14-10-17-53] 485 induc,id:6a,sta:0
[2022-06-14-10-18-17] 485 induc,id:6a,sta:1
[2022-06-14-10-18-18] 485 induc,id:6a,sta:1
[2022-06-14-10-18-24] 485 induc,id:6a,sta:0
[2022-06-14-10-18-24] 485 induc,id:6a,sta:0
[2022-06-14-10-18-25] 485 induc,id:6a,sta:0
[2022-06-14-10-18-40] 485 induc,id:6a,sta:1
[2022-06-14-10-18-40] 485 induc,id:6a,sta:1
[2022-06-14-10-18-47] 485 induc,id:6a,sta:0
[2022-06-14-10-18-47] 485 induc,id:6a,sta:0
[2022-06-14-10-18-47] 485 induc,id:6a,sta:0
[2022-06-14-10-19-58] 485 induc,id:60,sta:0
[2022-06-14-10-19-58] 485 induc,id:60,sta:0
[2022-06-14-10-19-59] 485 induc,id:60,sta:0
[2022-06-14-10-20-06] 485 induc,id:61,sta:0
[2022-06-14-10-20-06] 485 induc,id:61,sta:0
[2022-06-14-10-20-07] 485 induc,id:61,sta:0
[2022-06-14-10-20-53] 485 induc,id:6a,sta:1
[2022-06-14-10-20-53] 485 induc,id:6a,sta:1
[2022-06-14-10-20-53] 485 induc,id:6a,sta:1
[2022-06-14-10-21-00] 485 induc,id:6a,sta:0
[2022-06-14-10-21-00] 485 induc,id:6a,sta:0
[2022-06-14-10-22-01] 485 induc,id:6a,sta:1
[2022-06-14-10-22-01] 485 induc,id:6a,sta:1
[2022-06-14-10-22-01] 485 induc,id:61,sta:1
[2022-06-14-10-22-02] 485 induc,id:61,sta:1
[2022-06-14-10-22-02] 485 induc,id:61,sta:1
[2022-06-14-10-22-03] 485 induc,id:60,sta:1
[2022-06-14-10-22-04] 485 induc,id:60,sta:1
[2022-06-14-10-22-04] 485 induc,id:60,sta:1
[2022-06-14-10-22-08] 485 induc,id:6a,sta:0
[2022-06-14-10-22-08] 485 induc,id:6a,sta:0
[2022-06-14-10-22-08] 485 induc,id:6a,sta:0
[2022-06-14-10-22-13] 485 induc,id:6a,sta:1
[2022-06-14-10-22-13] 485 induc,id:6a,sta:1
[2022-06-14-10-22-13] 485 induc,id:6a,sta:1
[2022-06-14-10-22-20] 485 induc,id:6a,sta:0
[2022-06-14-10-22-20] 485 induc,id:6a,sta:0
[2022-06-14-10-22-20] 485 induc,id:6a,sta:0
[2022-06-14-10-22-29] 485 induc,id:6a,sta:1
[2022-06-14-10-22-30] 485 induc,id:6a,sta:1
[2022-06-14-10-22-30] 485 induc,id:6a,sta:1
[2022-06-14-10-22-37] 485 induc,id:6a,sta:0
[2022-06-14-10-22-37] 485 induc,id:6a,sta:0
[2022-06-14-10-22-37] 485 induc,id:6a,sta:0
[2022-06-14-10-23-16] 485 induc,id:6a,sta:1
[2022-06-14-10-23-16] 485 induc,id:6a,sta:1
[2022-06-14-10-23-16] 485 induc,id:6a,sta:1
[2022-06-14-10-23-23] 485 induc,id:6a,sta:0
[2022-06-14-10-23-23] 485 induc,id:6a,sta:0
[2022-06-14-10-23-26] 485 induc,id:60,sta:0
[2022-06-14-10-23-26] 485 induc,id:60,sta:0
[2022-06-14-10-23-27] 485 induc,id:60,sta:0
[2022-06-14-10-23-56] 485 induc,id:61,sta:0
[2022-06-14-10-23-57] 485 induc,id:61,sta:0
[2022-06-14-10-23-57] 485 induc,id:61,sta:0
[2022-06-14-10-33-13] 485 induc,id:60,sta:1
[2022-06-14-10-33-14] 485 induc,id:60,sta:1
[2022-06-14-10-33-14] 485 induc,id:60,sta:1
[2022-06-14-10-33-16] 485 induc,id:6a,sta:1
[2022-06-14-10-33-16] 485 induc,id:6a,sta:1
[2022-06-14-10-33-16] 485 induc,id:6a,sta:1
[2022-06-14-10-33-23] 485 induc,id:6a,sta:0
[2022-06-14-10-33-23] 485 induc,id:6a,sta:0
[2022-06-14-10-33-23] 485 induc,id:6a,sta:0
[2022-06-14-10-33-28] 485 induc,id:6a,sta:1
[2022-06-14-10-33-28] 485 induc,id:6a,sta:1
[2022-06-14-10-33-28] 485 induc,id:6a,sta:1
[2022-06-14-10-33-29] 485 induc,id:61,sta:1
[2022-06-14-10-33-29] 485 induc,id:61,sta:1
[2022-06-14-10-33-30] 485 induc,id:61,sta:1
[2022-06-14-10-33-35] 485 induc,id:6a,sta:0
[2022-06-14-10-33-35] 485 induc,id:6a,sta:0
[2022-06-14-10-33-35] 485 induc,id:6a,sta:0
[2022-06-14-10-34-48] 485 induc,id:6a,sta:1
[2022-06-14-10-34-48] 485 induc,id:6a,sta:1
[2022-06-14-10-34-49] 485 induc,id:6a,sta:1
[2022-06-14-10-34-51] 485 induc,id:61,sta:0
[2022-06-14-10-34-52] 485 induc,id:61,sta:0
[2022-06-14-10-34-52] 485 induc,id:60,sta:0
[2022-06-14-10-34-52] 485 induc,id:61,sta:0
[2022-06-14-10-34-53] 485 induc,id:60,sta:0
[2022-06-14-10-34-53] 485 induc,id:60,sta:0
[2022-06-14-10-34-55] 485 induc,id:6a,sta:0
[2022-06-14-10-34-56] 485 induc,id:6a,sta:0
[2022-06-14-10-36-38] 485 induc,id:61,sta:1
[2022-06-14-10-36-38] 485 induc,id:6a,sta:1
[2022-06-14-10-36-39] 485 induc,id:61,sta:1
[2022-06-14-10-36-41] 485 induc,id:60,sta:1
[2022-06-14-10-36-42] 485 induc,id:60,sta:1
[2022-06-14-10-36-42] 485 induc,id:60,sta:1
[2022-06-14-10-36-48] 485 induc,id:6a,sta:0
[2022-06-14-10-36-48] 485 induc,id:6a,sta:0
[2022-06-14-10-36-48] 485 induc,id:6a,sta:0
[2022-06-14-10-37-53] 485 induc,id:6a,sta:1
[2022-06-14-10-37-53] 485 induc,id:6a,sta:1
[2022-06-14-10-38-03] 485 induc,id:6a,sta:0
[2022-06-14-10-38-03] 485 induc,id:6a,sta:0
[2022-06-14-10-38-03] 485 induc,id:6a,sta:0
[2022-06-14-10-38-41] 485 induc,id:6a,sta:1
[2022-06-14-10-38-41] 485 induc,id:6a,sta:1
[2022-06-14-10-38-42] 485 induc,id:6a,sta:1
[2022-06-14-10-38-48] 485 induc,id:6a,sta:0
[2022-06-14-10-38-49] 485 induc,id:6a,sta:0
[2022-06-14-10-39-22] 485 induc,id:61,sta:0
[2022-06-14-10-39-23] 485 induc,id:61,sta:0
[2022-06-14-10-39-23] 485 induc,id:61,sta:0
[2022-06-14-10-39-34] 485 induc,id:6a,sta:1
[2022-06-14-10-39-35] 485 induc,id:6a,sta:1
[2022-06-14-10-39-35] 485 induc,id:61,sta:1
[2022-06-14-10-39-36] 485 induc,id:61,sta:1
[2022-06-14-10-39-36] 485 induc,id:61,sta:1
[2022-06-14-10-39-44] 485 induc,id:6a,sta:0
[2022-06-14-10-39-45] 485 induc,id:6a,sta:0
[2022-06-14-10-40-31] 485 induc,id:6a,sta:1
[2022-06-14-10-40-31] 485 induc,id:6a,sta:1
[2022-06-14-10-40-38] 485 induc,id:6a,sta:0
[2022-06-14-10-40-38] 485 induc,id:6a,sta:0
[2022-06-14-10-40-38] 485 induc,id:6a,sta:0
[2022-06-14-10-40-58] 485 induc,id:61,sta:0
[2022-06-14-10-40-58] 485 induc,id:61,sta:0
[2022-06-14-10-40-59] 485 induc,id:61,sta:0
[2022-06-14-10-41-16] 485 induc,id:6a,sta:1
[2022-06-14-10-41-17] 485 induc,id:6a,sta:1
[2022-06-14-10-41-17] 485 induc,id:61,sta:1
[2022-06-14-10-41-18] 485 induc,id:61,sta:1
[2022-06-14-10-41-18] 485 induc,id:61,sta:1
[2022-06-14-10-41-27] 485 induc,id:6a,sta:0
[2022-06-14-10-41-28] 485 induc,id:6a,sta:0
[2022-06-14-10-41-28] 485 induc,id:6a,sta:0
[2022-06-14-10-41-46] 485 induc,id:6a,sta:1
[2022-06-14-10-41-46] 485 induc,id:6a,sta:1
[2022-06-14-10-41-47] 485 induc,id:6a,sta:1
[2022-06-14-10-41-53] 485 induc,id:6a,sta:0
[2022-06-14-10-41-53] 485 induc,id:6a,sta:0
[2022-06-14-10-41-54] 485 induc,id:6a,sta:0
[2022-06-14-10-42-18] 485 induc,id:6a,sta:1
[2022-06-14-10-42-18] 485 induc,id:6a,sta:1
[2022-06-14-10-42-18] 485 induc,id:6a,sta:1
[2022-06-14-10-42-25] 485 induc,id:6a,sta:0
[2022-06-14-10-42-25] 485 induc,id:6a,sta:0
[2022-06-14-10-42-25] 485 induc,id:6a,sta:0
[2022-06-14-10-42-43] 485 induc,id:6a,sta:1
[2022-06-14-10-42-44] 485 induc,id:6a,sta:1
[2022-06-14-10-42-44] 485 induc,id:6a,sta:1
[2022-06-14-10-42-51] 485 induc,id:6a,sta:0
[2022-06-14-10-42-51] 485 induc,id:6a,sta:0
[2022-06-14-10-44-12] 485 induc,id:60,sta:0
[2022-06-14-10-44-13] 485 induc,id:60,sta:0
[2022-06-14-10-44-13] 485 induc,id:60,sta:0
[2022-06-14-10-44-27] 485 induc,id:61,sta:0
[2022-06-14-10-46-23] 485 induc,id:6a,sta:1
[2022-06-14-10-46-24] 485 induc,id:6a,sta:1
[2022-06-14-10-46-24] 485 induc,id:61,sta:1
[2022-06-14-10-46-30] 485 induc,id:6a,sta:0
[2022-06-14-10-46-31] 485 induc,id:6a,sta:0
[2022-06-14-10-46-57] 485 induc,id:6a,sta:1
[2022-06-14-10-46-57] 485 induc,id:6a,sta:1
[2022-06-14-10-46-57] 485 induc,id:6a,sta:1
[2022-06-14-10-47-04] 485 induc,id:6a,sta:0
[2022-06-14-10-47-04] 485 induc,id:6a,sta:0
[2022-06-14-10-47-46] 485 induc,id:61,sta:0
[2022-06-14-10-47-47] 485 induc,id:61,sta:0
[2022-06-14-10-48-25] 485 induc,id:61,sta:1
[2022-06-14-10-48-25] 485 induc,id:61,sta:1
[2022-06-14-10-48-26] 485 induc,id:61,sta:1
[2022-06-14-10-48-32] 485 induc,id:6a,sta:1
[2022-06-14-10-48-32] 485 induc,id:6a,sta:1
[2022-06-14-10-48-32] 485 induc,id:6a,sta:1
[2022-06-14-10-48-39] 485 induc,id:6a,sta:0
[2022-06-14-10-48-39] 485 induc,id:6a,sta:0
[2022-06-14-10-48-59] 485 induc,id:6a,sta:1
[2022-06-14-10-48-59] 485 induc,id:6a,sta:1
[2022-06-14-10-48-59] 485 induc,id:6a,sta:1
[2022-06-14-10-48-59] 485 induc,id:60,sta:1
[2022-06-14-10-49-00] 485 induc,id:60,sta:1
[2022-06-14-10-49-00] 485 induc,id:60,sta:1
[2022-06-14-10-49-03] mc close
[2022-06-14-10-49-06] 485 induc,id:6a,sta:0
[2022-06-14-10-49-06] 485 induc,id:6a,sta:0
[2022-06-14-10-50-22] 485 induc,id:60,sta:0
[2022-06-14-10-50-22] 485 induc,id:60,sta:0
[2022-06-14-10-50-23] 485 induc,id:60,sta:0
[2022-06-14-10-50-28] 485 induc,id:61,sta:0
[2022-06-14-10-50-29] 485 induc,id:61,sta:0
[2022-06-14-10-50-29] 485 induc,id:61,sta:0
[2022-06-14-10-55-04] induction: no people timeout, enter card pull event
[2022-06-14-10-55-17] card out
[2022-06-14-20-22-40] mc open
[2022-06-14-20-22-41] 485 induc,id:61,sta:1
[2022-06-14-20-22-41] induction: have people, enter card insert event
[2022-06-14-20-22-41] card in
[2022-06-14-20-22-41] mc action, enter card insert scene:night
[2022-06-14-20-22-41] 485 induc,id:61,sta:1
[2022-06-14-20-22-42] 485 induc,id:6a,sta:1
[2022-06-14-20-22-42] 485 induc,id:61,sta:1
[2022-06-14-20-22-42] 485 induc,id:6a,sta:1
[2022-06-14-20-22-42] 485 induc,id:60,sta:1
[2022-06-14-20-22-48] 485 induc,id:6a,sta:0
[2022-06-14-20-22-48] 485 induc,id:6a,sta:0
[2022-06-14-20-22-49] 485 induc,id:6a,sta:0
[2022-06-14-20-24-23] 485 induc,id:6a,sta:1
[2022-06-14-20-24-23] 485 induc,id:6a,sta:1
[2022-06-14-20-24-23] 485 induc,id:6a,sta:1
[2022-06-14-20-24-30] 485 induc,id:6a,sta:0
[2022-06-14-20-24-30] 485 induc,id:6a,sta:0
[2022-06-14-20-24-31] 485 induc,id:6a,sta:0
[2022-06-14-20-25-03] 485 induc,id:6a,sta:1
[2022-06-14-20-25-03] 485 induc,id:6a,sta:1
[2022-06-14-20-25-04] 485 induc,id:6a,sta:1
[2022-06-14-20-25-10] 485 induc,id:6a,sta:0
[2022-06-14-20-25-10] 485 induc,id:6a,sta:0
[2022-06-14-20-25-11] 485 induc,id:6a,sta:0
[2022-06-14-20-25-15] 485 induc,id:6a,sta:1
[2022-06-14-20-25-16] 485 induc,id:6a,sta:1
[2022-06-14-20-25-16] 485 induc,id:6a,sta:1
[2022-06-14-20-25-23] 485 induc,id:6a,sta:0
[2022-06-14-20-25-23] 485 induc,id:6a,sta:0
[2022-06-14-20-25-23] 485 induc,id:6a,sta:0
[2022-06-14-20-26-06] 485 induc,id:6a,sta:1
